以	a
⺚	jpwx
⦅	dlzk
❨	dlzk
❪	dlzk
⎛⦆	dlyk
❩	dlyk
❫	dlyk
⎞⦐	dlyk
⦋	dlzk
⦍	dlzk
⦏	dlzk
⟦	dlzk
⎡⦌	dlyk
⦎	dlyk
⟧	dlyk
⎤!	dlth
‼	dlth
⁉	dlth
$	dlmy
%	dlbf
⦃	dlzk
❴	dlzk
❲	dlzk
⦉	dlzk
⦇	dlzk
⎧₍	dlzk
⁽	dlzk
⦄	dlyk
❵	dlyk
❳	dlyk
⦊	dlyk
⦈	dlyk
⎫₎	dlyk
⁾	dlyk
ˉ	dlyp
,	dldh
․	dljh
.	dljh
/	dlfh
:	dlmh
?	dlwh
⁇	dlwh
⁈	dlwh
[	dlzk
]	dlyk
ˋ	dlzy
~	dllh
¡	dlth
ˊ	dlyp
⦕	dlyk
❬	dlzk
❰	dlzk
⟨	dlzk
⟪	dlzk
⦑	dlzk
⧼	dlzk
⦓	dlzk
⦗	dlzk
¿	dlwh
❭	dlyk
❱	dlyk
⟩	dlyk
⟫	dlyk
⦒	dlyk
⧽	dlyk
⦔	dlyk
⦘	dlyk
⦖	dlzk
ˇ	dlxk
⎴	dlsk
⎶	dlsx
⎵	dlxk
‴	dlyy
‶	dlzy
‷	dlzy
‹	dlzk
›	dlyk
‽	dlwh
〈	dlzk
〉	dlyk
¢	dlmy
£	dlyb
¤	dly
¥	dlry
₱	dlfy
﷼	dlyl
₠	dloy
₣	dlfl
₤	dlll
₭	dllw
₥	dlw
₦	dlny
₧	dlpt
₨	dlrs
₩	dlhy
₯	dlxl
₰	dlfn
₮	dlmy
₢	dlby
€	dloy
฿	dltz
₡	dlkl
₲	dlgl
₳	dlay
₴	dlwy
₵	dljn
₪	dlyy
₫	dlyl
+	dljh
⁺	dlsb
₊	dlxb
⨩	dldh
⊖	dly
⊝	dly
⨼	dlyk
⊗	dly
⨽	dlzk
⨾	dlfh
⊘	dly
∗	dlxh
⊛	dly
∘	dljh
⊚	dly
∓	dljj
=	dldh
₌	dldh
⁼	dldh
⊜	dly
«	dlzk
»	dlyk
∀	dlsy
∃	dlcc
⨟	dlfh
∛	dlgs
∜	dlgs
∱	dljf
∲	dljf
∳	dljf
⊆	dlbh
⋆	dlwj
⌙	dlzk
⌚	dljs
⌛	dljs
⌜	dlzk
⌝	dlsk
⌞	dlxk
⌟	dlyk
⌢	dlsk
⌣	dlxk
⍪	dldh
⍮	dlfh
⌁	dlsd
⍰	dlwh
⤚	dlyj
⤜	dlyj
⤟	dlzj
⤝	dlzj
⤞	dlyj
⤠	dlyj
⤨	dlsx
⤪	dlsx
⤭	dlsx
⤮	dlsx
⤰	dlxj
⤯	dlyj
⤡	dlzy
⤢	dlzy
⤧	dlzy
⤲	dlzy
⤩	dlzy
⤱	dlzy
⤤	dlyj
⤥	dlyj
⤣	dlzj
⤦	dlzj
⤍	dlyj
⤐	dlyj
⤕	dlyj
⥰	dlyj
⤃	dlyj
⤁	dlyj
⤎	dlzj
⤌	dlzj
⤄	dlzy
⤊	dlsj
⤋	dlxj
⤏	dlyj
⤇	dlyj
⤆	dlzj
⥉	dlsj
⤘	dlyj
⤗	dlyj
⤖	dlyj
⤅	dlyj
⤀	dlyj
⤴	dlsj
⤵	dlxj
⤷	dlyj
⤶	dlzj
⥘	dlsj
⥜	dlsj
⥔	dlsj
⥠	dlsj
⥑	dlsx
⥏	dlsx
⥍	dlsx
⥌	dlsx
⥙	dlxj
⥕	dlxj
⥝	dlxj
⥡	dlxj
⥗	dlyj
⥓	dlyj
⥭	dlyj
⥬	dlyj
⥛	dlyj
⥟	dlyj
⥒	dlzj
⥚	dlzj
⥖	dlzj
⥫	dlzj
⥪	dlzj
⥞	dlzj
⥊	dlzy
⥐	dlzy
⥎	dlzy
⥋	dlzy
⥣	dlsj
⥮	dlsx
⥯	dlsx
⥥	dlxj
⥤	dlyj
⥢	dlzj
⥩	dlzy
⥨	dlzy
⥦	dlzy
⥧	dlzy
⤈	dlxj
⥂	dlzy
⥄	dlzy
⥅	dlyj
⥆	dlzj
⥇	dlyj
⥈	dlzy
⤫	dljc
⤔	dlyj
⤓	dlxj
⤒	dlsj
⥀	dloj
⤉	dlsj
⥁	dloj
⤳	dlyj
⤑	dlyj
⥺	dlzj
⤬	dljc
⤸	dloj
⤹	dloj
⤺	dloj
⤻	dloj
⤼	dloj
⥿	dlxj
⥾	dlsj
⥽	dlyj
⥃	dlzy
⥻	dlzj
⤿	dloj
⥴	dlyj
⤾	dloj
⤽	dloj
⥱	dlyj
⥼	dlzj
⥳	dlzj
⥹	dlyj
⥵	dlyj
⥶	dlzj
⥷	dlzj
⥸	dlyj
⥲	dlyj
⤂	dlzj
⤛	dlzj
⤙	dlzj
⎋	dloj
￭	dlfk
□	dlfk
▢	dlfk
▣	dlfk
▤	dlfk
▥	dlfk
▦	dlfk
▧	dlfk
▨	dlfk
▩	dlfk
▪	dlfk
▫	dlfk
◧	dlfk
◨	dlfk
◩	dlfk
◪	dlfk
◫	dlfk
▴	dlsj
▵	dlsj
◬	dlsj
◭	dlsj
◮	dlsj
▶	dlsj
▷	dlsj
▸	dlsj
▹	dlsj
◯	dly
▾	dlsj
▿	dlsj
◀	dlsj
◁	dlsj
◂	dlsj
◃	dlsj
►	dlsj
▻	dlsj
◄	dlsj
◅	dlsj
◇	dllx
◉	dly
◌	dly
◍	dly
◐	dly
◑	dly
◒	dly
◓	dly
◔	dly
◕	dly
◙	dly
◖	dlby
◗	dlby
◦	dljh
◘	dly
◚	dlyh
◛	dlyh
◜	dlyh
◝	dlyh
◞	dlyh
◟	dlyh
◠	dlyh
◡	dlyh
￪	dlsj
↟	dlsj
↥	dlsj
↾	dlsj
↿	dlsj
⇈	dlsj
⇑	dlsj
⇞	dlsj
⇡	dlsj
⇧	dlsj
⇪	dlsj
⇫	dlsj
⇬	dlsj
⇭	dlsj
⇮	dlsj
⇯	dlsj
☝	dlss
↑	dlyf
⇗	dlys
➚	dlys
➶	dlys
➹	dlys
☞	dlsy
☛	dlsy
→	dlyj
￫	dlyj
↝	dlyj
↠	dlyj
↣	dlyj
↦	dlyj
↪	dlyj
↬	dlyj
↱	dlyj
↳	dlyj
⇀	dlyj
⇁	dlyj
⇉	dlyj
⇒	dlyj
⇛	dlyj
⇝	dlyj
⇢	dlyj
⇥	dlyj
⇨	dlyj
➔	dlyj
➙	dlyj
➛	dlyj
➜	dlyj
➝	dlyj
➞	dlyj
➟	dlyj
➠	dlyj
➡	dlyj
↛	dlyj
➢	dlyj
➣	dlyj
➤	dlyj
➥	dlyj
➦	dlyj
➧	dlyj
➨	dlyj
➩	dlyj
➪	dlyj
⇰	dlyj
➫	dlyj
➬	dlyj
⇏	dlyj
➭	dlyj
➮	dlyj
➯	dlyj
➱	dlyj
➲	dlyj
➳	dlyj
➵	dlyj
➸	dlyj
⇴	dlyj
➺	dlyj
➻	dlyj
➼	dlyj
➽	dlyj
➾	dlyj
⇶	dlyj
⇸	dlyj
⇻	dlyj
⇾	dlyj
⇹	dlzy
⇲	dlxj
⇘	dlyx
➘	dlyx
➴	dlyx
➷	dlyx
☟	dlsx
⇵	dlsx
￬	dlxj
↓	dlxj
↡	dlxj
↧	dlxj
↯	dlxj
↴	dlxj
⇂	dlxj
⇃	dlxj
⇊	dlxj
⇓	dlxj
⇟	dlxj
⇣	dlxj
⇩	dlxj
⇼	dlzy
⇙	dlzx
☚	dlsz
☜	dlsz
￩	dlzj
↜	dlzj
↞	dlzj
↢	dlzj
↤	dlzj
↩	dlzj
↫	dlzj
↰	dlzj
↲	dlzj
↵	dlzj
↼	dlzj
↽	dlzj
⇇	dlzj
⇐	dlzj
⇚	dlzj
⇜	dlzj
⇠	dlzj
⇤	dlzj
⇦	dlzj
↚	dlzj
⇍	dlzj
⇷	dlzj
⇺	dlzj
⇽	dlzj
⇿	dlzy
⇱	dlzj
↸	dlzs
⇖	dlzs
↔	dlst
↔	dlzy
↭	dlzy
↹	dlzy
⇄	dlzy
⇆	dlzy
⇋	dlzy
⇌	dlzy
⇔	dlzy
↮	dlzy
⇎	dlzy
↕	dlsx
↨	dlsx
⇕	dlsx
⇅	dlsx
⇳	dlsx
↷	dljt
↻	dljt
↶	dljt
↺	dljt
╌	bghx
╍	bghx
╼	bghx
╾	bghx
╸	bghx
╶	bghx
╺	bghx
╎	bgsx
╏	bgsx
╽	bgsx
╿	bgsx
╵	bgsx
╹	bgsx
╷	bgsx
╻	bgsx
┐	dlf
├	dldd
╞	dlmz
▁	dlfk
▏	dlfk
▕	dlsx
▂	dlfk
▎	dlfk
▃	dlfk
▍	dlfk
▄	dlfk
▌	dlfk
▅	dlfk
▋	dlfk
▆	dlfk
▊	dlfk
▇	dlfk
▉	dlfk
█	dlfk
░	dlfk
▒	dlfk
▓	dlfk
©	oc
¬	dlsk
®	or
µ	dlu
¶	dlzj
・	dlsh
∬	ss
∭	sss
∯	sso
∰	ssso
〓	dlta
☀	dlty
☁	dlyc
☂	dls
☃	dlxr
☄	dlxx
☇	dljt
☇	dlsd
☈	dljt
☈	dlsd
☊	dlej
☋	dlej
☌	dlta
☍	dlta
☎	dldh
☏	dldh
☐	dlfk
☑	dld
☒	dlc
☓	dlc
☠	dlyd
☡	dlz
☢	dlfs
☣	dlta
☤	dlbf
☥	dlta
☦	dlta
☧	dlta
☨	dlta
☩	dlta
☪	dlyl
☫	dlta
☬	dlta
☭	dldh
☮	dlta
☯	dlbg
☯	dltj
☰	dlqg
☱	dldg
☲	dllg
☳	dlzg
☴	dlxg
☵	dlkg
☶	dlgg
☷	dlng
☸	dlw
☹	dlxl
☺	dlxl
☻	dlxl
☼	dlty
☽	dlyl
☾	dlyl
☿	dlta
♀	dlta
♁	dlta
♂	dlnx
♂	dlta
♈	dlby
♉	dljn
♊	dlsz
♋	dljx
♌	dlsz
♍	dlcn
♎	dltp
♏	dltx
♐	dlss
♑	dlmx
♒	dlsp
♓	dlsy
♔	dlxq
♕	dlxq
♖	dlxq
♗	dlxq
♘	dlxq
♙	dlxq
♚	dlxq
♛	dlxq
♜	dlxq
♝	dlxq
♞	dlxq
♟	dlxq
♠	dlht
♢	dlbk
♣	dlhm
♤	dlbt
♥	dlhx
♦	dlhk
♧	dlbm
♨	dlcf
♩	dlyy
♪	dlyy
♫	dlyy
♬	dlyy
♭	dlyy
♮	dlyy
♯	dlyy
✁	dljd
✂	dljd
✃	dljd
✄	dljd
✆	dldh
✇	dldy
✈	dlfj
✉	dlyj
✌	dlss
✍	dlsx
✎	dlqb
✏	dlqb
✐	dlqb
✑	dlgb
✒	dlgb
✓	dld
✔	dld
✕	dlc
✖	dlc
✗	dlc
✘	dlc
✙	dlsz
✚	dlsz
✛	dlsz
✜	dlsz
✝	dlsz
✞	dlsz
✟	dlsz
✠	dlfk
✡	dllj
✢	dlsj
✣	dlsj
✤	dlsj
✥	dlsj
✦	dlsj
✧	dlsj
✩	dlwj
✰	dlwj
✫	dlwj
✬	dlwj
✭	dlwj
✮	dlwj
✯	dlwj
✪	dlwj
✱	dllj
✲	dllj
✳	dlbj
✴	dlbj
✵	dlbj
✶	dllj
✷	dlbj
✸	dlbj
✹	dlxx
✺	dlxx
✻	dllj
✼	dllj
✽	dllj
✾	dllj
✿	dlwj
❀	dlwj
❁	dlbj
❂	dlbj
❂	dldh
❃	dllj
❄	dlxh
❅	dlxh
❆	dlxh
❇	dlbj
❈	dlbj
❉	dllj
❊	dlbj
❋	dlbj
❍	dlyy
❏	dlfk
❐	dlfk
❑	dlfk
❒	dlfk
❖	dlfk
❛	dlzy
❜	dlyy
❝	dlzy
❞	dlyy
❢	dlax
❣	dlax
❤	dlax
❥	dlax
❦	dlta
❧	dlta
☔	dlys
☕	dlcb
☖	dlta
☗	dlta
☙	dlta
♰	dlsz
♱	dlsz
♲	dlhs
♻	dlhs
♼	dlhs
♽	dlhs
♴	ee
♸	ytu
♺	judy
♹	fq
♵	is
♶	nve
♷	gdu
♳	gu
⏎	dlzj
⚊	dlyy
⚋	dlyy
⚌	dlly
⚍	dlsy
⚎	dlsy
⚏	dlly
⚐	dlqz
⚑	dlqz
⚠	dlzy
‱	dlwf
⦁	dljh
⦂	dlmh
❯	dlyk
❮	dlzk
⿰	dlvx
⿱	dlzx
⿲	dlwx
⿳	dlex
⿴	dlox
⿵	dlnx
⿶	dlux
⿷	dlcx
⿸	dlpx
⿹	dlqx
⿺	dllx
⿻	dlxx
㍘	julo
⓪	szl
⓿	szl
⁰	szl
₀	szl
⅛	szby
⅙	szly
⅕	szwy
¼	szsy
⅓	szsy
⅜	szbs
⅖	szwe
½	szey
⅗	szws
⅝	szbw
⅔	szse
¾	szss
⅘	szws
⅚	szlw
⅞	szbq
㍙	gulo
㏠	gukv
㋀	gusv
⚀	dlsz
¹	szyi
₁	szyi
⓵	szyi
➀	szyi
❶	szyi
➊	szyi
²	szer
㍚	eelo
㏡	eekv
㋁	eesv
⚁	dlsz
⓶	szer
➁	szer
❷	szer
➋	szer
₂	szer
㍛	islo
㏢	iskv
㋂	issv
³	szsa
⚂	dlsz
⓷	szsa
➂	szsa
❸	szsa
➌	szsa
₃	szsa
㍜	nvlo
㏣	nvkv
㋃	kvsv
⚃	dlsz
⓸	szsi
➃	szsi
❹	szsi
➍	szsi
⁴	szsi
₄	szsi
㍝	gdlo
㏤	gdkv
㋄	gdsv
⚄	dlsz
⁵	szwu
⓹	szwu
➄	szwu
❺	szwu
➎	szwu
₅	szxu
㍞	ytlo
㏥	ytkv
㋅	ytsv
⚅	dlsz
⓺	szl
➅	szl
❻	szl
➏	szl
⁶	szl
₆	szl
㍟	fqlo
㏦	fqkv
㋆	fqsv
⓻	szqi
➆	szqi
❼	szqi
➐	szqi
⁷	szqi
₇	szqi
㍠	tulo
㏧	tukv
㋇	tusv
⓼	szba
➇	szba
❽	szba
➑	szba
⁸	szba
₈	szba
㍡	rjlo
㏨	rjkv
㋈	rjsv
⓽	szj
➈	szj
❾	szj
➒	szj
⁹	szj
₉	szj
㍢	eulo
㏩	eukv
㋉	eusv
㋊	egsv
〸	szs
⓾	szyl
➉	szyl
❿	szyl
➓	szyl
㋋	eesv
㍣	eglo
㏪	egkv
⑪	szyy
⓫	szyy
㍤	eelo
㏫	eekv
⑫	szye
⓬	szye
㍥	eilo
㏬	eikv
⑬	szys
⓭	szys
㍦	enlo
㏭	enkv
⑭	szys
⓮	szys
㍧	eglo
㏮	egkv
⑮	szyw
⓯	szyw
㍨	eylo
㏯	eykv
⑯	szyl
⓰	szyl
㍩	eflo
㏰	efkv
⑰	szyq
⓱	szyq
㍪	etlo
㏱	etkv
⑱	szyb
⓲	szyb
㍫	erlo
㏲	erkv
⑲	szyj
⓳	szyj
㍬	eelo
㏳	eekv
⑳	szel
⓴	szel
〹	szes
㍭	eegl
㏴	eegk
㉑	szey
㍮	eeel
㏵	eeek
㉒	szee
㍯	eeil
㏶	eeik
㉓	szes
㍰	eenl
㏷	eenk
㉔	szes
㏸	eegk
㉕	szew
㏹	eeyk
㉖	szel
㏺	eefk
㉗	szeq
㏻	eetk
㉘	szeb
㏼	eerk
㉙	szej
㏽	iekv
㉚	szsl
〺	szss
㏾	dlsy
㉛	szsy
㉜	szse
㉝	szss
㉞	szss
㉟	szsw
㊱	szsl
㊲	szsq
㊳	szsb
㊴	szsj
㊵	szsl
㊶	szsy
㊷	szse
㊸	szss
㊹	szss
㊺	szsw
㊻	szsl
㊼	szsq
㊽	szsb
㊾	szsj
㊿	szwl
ⅺ	szyy
ⅻ	szye
ⓐ	a
Ⓐ	a
⒜	a
ₐ	dla
Á	dla
â	dla
ä	dla
Ǎ	dla
ă	dla
Ă	dla
Ā	dla
ã	dla
å	dla
Ą	dla
ǻ	dla
Ǟ	dla
Ȁ	dla
ȃ	dla
ª	dlsb
æ	dlae
Æ	dlae
Ǽ	dlae
㍳	dlau
㏂	dlam
ⓑ	b
Ⓑ	b
⒝	b
ʙ	dlb
ƀ	dlb
Ɓ	dlb
ƃ	dlb
Ƅ	dlb
㏃	dlbq
ⓒ	c
Ⓒ	c
⒞	c
ć	dlc
ċ	dlc
Ĉ	dlc
č	dlc
ç	dlc
Ç	dlc
Ƈ	dlc
ɔ	dlc
Ɔ	dlc
㏅	dlcd
㎠	dlcm
㎤	dlcm
㏆	dlck
㎈	dlca
㏇	dlco
ⓓ	d
Ⓓ	d
⒟	d
Ď	dld
đ	dld
ƌ	dld
Ɗ	dld
ð	dld
Ð	dld
ʤ	dld
ƍ	dld
㍲	dlda
㏈	dldb
㎗	dlde
ǳ	dldz
ǲ	dldz
Ǳ	dldz
Ɖ	dld
ʣ	dldz
ʥ	dldz
ₑ	dle
É	dle
ė	dle
ë	dle
Ě	dle
Ĕ	dle
Ē	dle
Ę	dle
Ȅ	dle
ȇ	dle
Ȇ	dle
ɛ	dle
Ɛ	dle
ǝ	dle
Ǝ	dle
ə	dle
ₔ	dle
Ə	dle
ʚ	dle
ⓔ	e
Ⓔ	e
⒠	e
Ƒ	dlf
ƒ	dlhl
ⓕ	f
Ⓕ	f
⒡	f
ﬁ	dlfi
ﬂ	dlfl
㎙	dlfm
ʩ	dlfn
ǵ	dlg
ġ	dlg
Ĝ	dlg
ǧ	dlg
Ğ	dlg
ģ	dlg
ʛ	dlg
Ɠ	dlg
Ɣ	dlv
ⓖ	g
Ⓖ	g
⒢	g
㎇	dlgb
㏉	dlgy
㎓	dlgh
㎬	dlgp
ʜ	dlh
Ĥ	dlh
ħ	dlh
ʰ	dlh
ʱ	dlh
ⓗ	h
Ⓗ	h
⒣	h
㏊	dlha
㏋	dlhp
㎐	dlhz
ƕ	dlh
ʮ	dlh
ʯ	dlh
ⁱ	dli
ı	dli
Í	dli
İ	dli
î	dli
ï	dli
Ǐ	dli
ĭ	dli
Ī	dli
ĩ	dli
Į	dli
Ɨ	dli
Ȉ	dli
ȋ	dli
Ɩ	dli
ⓘ	i
Ⓘ	i
⒤	i
ĳ	dlij
㏌	dlin
Ĵ	dlj
ǰ	dlj
ʄ	dlj
ʝ	dlj
ʲ	dlj
ⓙ	j
Ⓙ	j
⒥	j
ĸ	dlk
ǩ	dlk
ķ	dlk
Ƙ	dlk
ʞ	dlk
ⓚ	k
Ⓚ	k
⒦	k
㎄	dlka
㎅	dlkb
㏍	dlkk
㎢	dlkm
㎘	dlke
㏏	dlkt
㎸	dlkv
㎾	dlkw
㎦	dlkm
㏀	dlko
㎉	dlkc
㎑	dlkh
㎪	dlkp
ʟ	dll
ĺ	dll
ŀ	dll
Ŀ	dll
Ľ	dll
ļ	dll
Ļ	dll
ƚ	dll
ł	dll
ƛ	dll
ⓛ	l
Ⓛ	l
⒧	l
㏐	lm
ʪ	ls
㏓	lx
ʫ	lz
Ɯ	dlm
ℳ	dlmk
ⓜ	m
Ⓜ	m
⒨	m
㎥	mmm
㎃	ma
㏔	mb
㎆	mb
㎟	mmm
㎖	me
㎳	ms
㎷	mv
㎹	mv
㎽	mw
㎿	mw
㎣	mmmm
㏁	dlmo
㎧	ms
㎨	mss
㎒	mhz
㏖	mol
㎫	mpa
ⁿ	dln
Ń	dln
Ǹ	dln
Ň	dln
ñ	dln
Ñ	dln
ņ	dln
Ɲ	dln
ŉ	dln
ƞ	dln
ⓝ	n
Ⓝ	n
⒩	n
㎁	dlna
㎋	dlnf
㎚	dlnm
㎱	dlns
㎵	dlnv
㎻	dlnw
ŋ	dln
º	dllc
ₒ	dlo
Ó	dlo
ô	dlo
Ô	dlo
ö	dlo
Ǒ	dlo
Ŏ	dlo
Ō	dlo
õ	dlo
Ǫ	dlo
ő	dlo
Ɵ	dlo
ø	dlo
Ǿ	dlo
ǭ	dlo
ȍ	dlo
Ȏ	dlo
ơ	dlo
ƣ	dlq
ⓞ	o
Ⓞ	o
⒪	o
Œ	dlce
œ	dloe
㍵	dlov
ƥ	dlp
ⓟ	p
Ⓟ	p
⒫	p
㎀	dlpa
㎩	dlpa
㍶	dlpc
㎊	dlpf
㏗	dlph
㏚	dlpr
㎰	dlps
㎴	dlpv
㎺	dlpw
㏘	dlpm
㏙	dlpp
ʠ	dlq
ⓠ	q
Ⓠ	q
⒬	q
Ʀ	dlr
Ŕ	dlr
Ř	dlr
Ŗ	dlr
ȑ	dlr
Ȓ	dlr
ʳ	dlr
ʴ	dlr
ʵ	dlr
ʶ	dlr
ⓡ	r
Ⓡ	r
⒭	r
㎭	rad
㎮	rads
㎯	rads
Ʃ	dle
ʆ	dlf
Ś	dls
ŝ	dls
Š	dls
Ş	dls
ș	dls
ʃ	dls
ʅ	dls
ⓢ	s
Ⓢ	s
⒮	s
㏛	dlsr
ß	dlb
㏜	dlsv
℠	dlsm
ſ	dls
ť	dlt
ţ	dlt
Ƭ	dlt
ƫ	dlt
ʈ	dlt
Ʈ	dlt
ț	dlt
ʇ	dlt
ʨ	dltc
ʧ	dlts
ⓣ	t
Ⓣ	t
⒯	t
þ	dlt
Þ	dlt
㎔	dlth
™	tm
ʦ	dlts
Ŧ	dlt
Ú	dlu
û	dlu
Ǔ	dlu
ŭ	dlu
Ū	dlu
ũ	dlu
Ů	dlu
Ų	dlu
ű	dlu
ʉ	dlu
Ǘ	dlu
Ǜ	dlu
Ǚ	dlu
Ǖ	dlu
Ȕ	dlu
Ȗ	dlu
Ư	dlu
ʊ	dlu
Ʊ	dlu
ⓤ	u
Ⓤ	u
⒰	u
ʋ	dlu
Ʋ	dlu
ʌ	dlv
ⓥ	v
Ⓥ	v
⒱	v
ʍ	dlm
Ŵ	dlw
ʷ	dlw
ⓦ	w
Ⓦ	w
⒲	w
㏝	dlwb
ₓ	dlx
ⓧ	x
Ⓧ	x
⒳	x
ʏ	dly
ý	dly
Ý	dly
Ŷ	dly
ÿ	dly
Ÿ	dly
Ƴ	dly
ʎ	dly
ʸ	dly
ⓨ	y
Ⓨ	y
⒴	y
Ź	dlz
ż	dlz
Ż	dlz
ž	dlz
Ƶ	dlz
ʐ	dlz
ʑ	dlz
ⓩ	z
Ⓩ	z
⒵	z
ʒ	dlz
Ʒ	dlz
Ǯ	dlz
Ƹ	dlz
ƺ	dlz
ʓ	dlz
㎂	dlua
㎌	dluf
㎍	dlug
㎕	dlue
㎛	dlum
㎲	dlus
㎶	dluv
㎼	dluw
シ	dlsi
し	dlsi
ジ	dlzi
じ	dlzi
ヂ	dlji
ぢ	dlji
ヅ	dlzu
づ	dlzu
ヲ	dlwo
を	dlwo
㍴	dlba
㍱	dlhp
䷀	dlqq
䷁	dlnn
䷂	dlkz
䷃	dlgk
䷄	dlkq
䷅	dlqk
䷆	dlnk
䷇	dlkn
䷈	dlxq
䷉	dlqd
䷊	dlnq
䷋	dlqn
䷌	dlql
䷍	dllq
䷎	dlng
䷏	dlzn
䷐	dldz
䷑	dlgx
䷒	dlnd
䷓	dlxk
䷔	dllz
䷕	dlgl
䷖	dlgn
䷗	dlnz
䷘	dlqz
䷙	dlgq
䷚	dlgz
䷛	dldx
䷜	dlkk
䷝	dlll
䷞	dldg
䷟	dlzx
䷠	dlqg
䷡	dlzq
䷢	dlln
䷣	dlnl
䷤	dlxl
䷥	dlld
䷦	dlkg
䷧	dlzk
䷨	dlgd
䷩	dlxz
䷪	dldq
䷫	dlqd
䷬	dldn
䷭	dlnx
䷮	dldk
䷯	dlkx
䷰	dldl
䷱	dllx
䷲	dlzz
䷳	dlgg
䷴	dlxg
䷵	dlzd
䷶	dlzl
䷷	dllg
䷸	dlxx
䷹	dldd
䷺	dlxk
䷻	dlkd
䷼	dlxd
䷽	dlzg
䷾	dlkl
䷿	lk
兑	dldg
艮	dlgg
坎	dlkg
坤	dlng
离	dllg
乾	dlqg
巽	dlxg
震	dlzg
㈪	sv
㈫	xv
㈬	as
㈭	iv
㈮	vv
㈯	jv
㈰	kv
㈲	hsv
㈳	wjvs
㈴	qovx
㈵	pjin
㈶	nipb
㈷	wovs
㈸	zqcl
㈹	tfi
㈺	opxi
㈻	zqbz
㈼	fpme
㈽	ulz
㈾	zqns
㈿	eccc
㉀	sfs
㉁	tiv
㉂	tz
㉃	gajv
㊀	gu
㊁	ee
㊂	is
㊃	nve
㊄	gdu
㊅	ytu
㊆	fq
㊇	tu
㊈	rj
㊉	eu
㊊	sv
㊋	xv
㊌	as
㊍	iv
㊎	vv
㊏	jv
㊐	kv
㊑	iptu
㊒	hsv
㊓	wjvs
㊔	qovx
㊕	pjin
㊖	nipb
㊗	wovs
㊘	zqcl
㊙	rrpu
㊚	kclt
㊛	cv
㊜	yxjz
㊝	tgrv
㊞	vgae
㊟	zwe
㊠	igyg
㊡	tiv
㊢	qgcg
㊤	ls
㊥	oku
㊦	jwu
㊧	hig
㊨	hov
㊩	fpif
㊪	wfs
㊫	zqbz
㊬	fpme
㊭	ulz
㊮	zqns
㊯	eccc
㊰	ytvw
㍻	exfb
㍼	kdro
㍽	fdgl
㍾	ksza
㍿	ifuw
镕	pwoj
觽	qstm
韂	hqyg
箓	pbas
髃	nkog
颙	kgmo
颎	vxmi
锜	pfoj
祎	wfbs
镠	pcsj
纮	chaj
绖	cfzj
赟	ygmw
袴	wfei
闿	zmdm
飏	qtsj
讬	zpfy
阇	zjkm
頉	lgyz
纻	cwgj
镈	peij
颋	rbmr
骃	anfm
	zrjy
鉷	vhtu
麹	evsx
頔	kgyy
翚	cqfy
襕	wzxi
	doys
飐	qtoj
	ckyj
醖	ekmy
蟽	ljxz
秵	rnfd
翙	mqcy
缞	cwgj
谞	zbsy
禼	lnma
锽	puej
诐	zdpy
醔	rxey
鲙	quay
禩	wkts
铏	pglj
饍	vxos
蓚	htvs
赗	mknb
鳚	qdiy
骎	abdm
鲀	qfay
龁	lubz
麞	wykl
辀	froc
醿	eway
缊	ckmj
邨	fabq
酂	pvmb
秾	rqru
臱	twyz
禃	wens
硙	gmdj
襈	wdti
鉨	vqcx
骍	ayxm
馃	qkii
鸮	oesn
鋬	frdv
鍮	vusl
篯	ppgf
黁	wrkm
眬	njpu
赒	msob
鹍	kvsn
诇	zmoy
篃	pdnv
詟	jpyo
黙	kexj
鹖	kscs
鹯	yngs
禇	wjks
镮	pmrj
睈	noev
鲊	qply
飖	vpqt
辌	fycc
袆	wfbi
阘	zkcm
謩	hkfy
铦	proj
陁	bpbe
鹓	wqbs
骙	adfm
绹	cspj
辒	fkmc
鲃	qdby
锧	prmj
訚	zyvm
黡	gjmc
馂	qavi
鹢	xtms
鷪	nnqu
铚	pfzj
跶	ofzz
臜	spvm
	mesb
鹮	mgsw
衆	pmst
鞓	hoeg
蚃	cplv
絙	aekv
赪	jtlm
硁	gdig
韈	hhwg
蝄	lmyc
韨	fbdw
礶	ghot
龂	lujz
簄	pzod
	jpfo
闬	zegm
醦	easy
碶	gidf
鳣	qygy
矁	nrxr
馛	rkdw
鮼	qbqd
貋	vkez
粋	xrem
鲌	quby
蕰	hzkm
鳡	qfry
鲝	xqyy
粫	xgem
鮾	qvcv
睺	ntdp
禟	wwjs
阓	zomm
阛	zmrm
纴	crrj
驲	akvm
钘	pghj
鳂	qkfy
飗	qtkj
祃	wams
茝	hfok
韮	hlgu
鰕	qddd
馉	qngi
鹠	vwks
鲿	qnay
	fmti
覩	jknj
鹙	rxsn
绬	chfj
窎	wsnx
躧	ogwz
礮	geyt
膎	svaf
髩	ejbb
袝	wtii
眮	nmgo
碁	hgvq
艍	rdjo
騼	ewlm
	qxey
鮧	qfdg
鬂	ettb
镵	pqwj
麕	wnrl
绤	ctoj
黒	kexj
鹥	fpsf
麖	wycl
鱲	qccc
讗	ymto
鸻	ssnx
诪	ziiy
鸰	uwds
艈	ryvo
聴	here
钖	pbsj
饳	qaai
鲖	qmoy
裈	wqfi
粃	xvbm
趦	jxoz
鱇	qwba
紥	fcav
駆	eftm
鹴	jisy
铓	phcj
褠	wgji
